Time_h	OD	glc_C2_12C	glc_C2_13C	GL_C2_13C	Gltot
0.916666667	0.07918	14.2958039	0.301950255	0	0.020135291
1.933333333	0.1184	13.97226499	0.343280325	0	0.053830839
2.916666667	0.17131	13.1581341	0.324122704	0	0.065261568
3.933333333	0.2738	11.84413043	0.32790835	0	0.090090051
4.833333333	0.3848	9.749739487	0.22730406	0	0.128415841
5.3	0.4403	8.454254664	8.723418026	0	0.157586311
5.766666667	0.5661	7.439439639	8.082865043	0.066665587	0.174807868
6.266666667	0.6808	6.693986868	7.206438754	0.105490845	0.239015904
6.766666667	0.8621	5.544380229	5.989126672	0.10710669	0.295361914
7.283333333	1.0471	3.796225206	4.077180567	0.158005598	0.367341646
7.783333333	1.2432	2.179589128	2.33432599	0.274204037	0.494952107
