Time_h	OD	glc_C2_12C	glc_C2_13C	GL_C2_13C	Gltot
0	0.05994				
1	0.0777				
2	0.11433	14.05856047	0.397410794	0	0.080657855
3	0.18648	13.40829773	0.337719486	0	0.111716532
4.083	0.28194				
4.583	0.37	10.1214812	0.243956789	0	0.165505263
5.3	0.4699				
5.433		7.609708378	11.33079618	0	0.216129757
5.6	0.5217				
5.683	0.5846				
5.933	0.5735	6.942528441	10.63055012	0.101766521	0.273299117
6.433	0.7141	5.946258271	9.062510569	0.125971716	0.277313794
6.967	0.8695	4.821162505	7.282934373	0.204335012	0.406841141
7.417	1.1063	3.341936906	5.018194466	0.266616303	0.505659728
